Model,MSE,RMSE,MAE,Median_AE,R2,Pearson,MAPE,Error_Std,Error_Min,Error_Max,Error_Q25,Error_Q75,Std_Actual,Std_Predicted,Mean_Actual,Mean_Predicted
XGBoost,0.027483096346259117,0.16578026524969466,0.13583363592624664,0.11789095401763916,0.1605474070110371,0.44221127797658777,14.057427406311035,0.16280721127986908,-0.29420340061187744,0.3704431653022766,-0.1551477611064911,0.07818284630775452,0.18094006180763245,0.09301695972681046,0.9883334040641785,0.9570779204368591
RandomForest,0.02901463769376278,0.17033683598612126,0.13965196907520294,0.12138873338699341,0.11376751116965977,0.40678196274181855,14.425702095031738,0.16757944226264954,-0.2954145669937134,0.3803216814994812,-0.15573765337467194,0.09722484648227692,0.18094006180763245,0.10118918865919113,0.9883334040641785,0.9578084945678711
SVR,0.026822177693247795,0.16377477734146914,0.13280434906482697,0.08578559756278992,0.18073472078998765,0.4628776265902606,13.75501537322998,0.16133031249046326,-0.27363431453704834,0.32259589433670044,-0.17048247158527374,0.06975984573364258,0.18094006180763245,0.06635338068008423,0.9883334040641785,0.9601428508758545
ElasticNet,0.028620759025216103,0.16917670946444166,0.13987557590007782,0.1005324125289917,0.12579823109062216,0.3919739441199778,14.533348083496094,0.16687971353530884,-0.31554973125457764,0.3410196900367737,-0.15727068483829498,0.07407937943935394,0.18094006180763245,0.059103481471538544,0.9883334040641785,0.9605498313903809
