Model,R2,MAE,RMSE,Pearson,Source
CNN (End-to-End),0.1577433528965186,0.1347362995147705,0.1660569027466001,0.4390853495469774,full_finetune
XGBoost,0.1605474070110371,0.1358336359262466,0.1657802652496946,0.4422112779765877,ML (CNN Features)
RandomForest,0.1137675111696597,0.1396519690752029,0.1703368359861212,0.4067819627418185,ML (CNN Features)
SVR,0.1807347207899876,0.1328043490648269,0.1637747773414691,0.4628776265902606,ML (CNN Features)
ElasticNet,0.1257982310906221,0.1398755759000778,0.1691767094644416,0.3919739441199778,ML (CNN Features)
